issuekey,title,description,storypoint
PF-5675,Term_Deposit_Account Management_Manage Account_Account Activation(UAT) Data Setup,,8
PF-5673,Master Definitions | Sub Cost Center & Organization Level Mapping | UI/UX Design,,6
PF-5672,Lending Module | Integration | CRIB reporting  |-Story_03- Third-Party Report Agency Definition - FE and FE_QA,"*Do :* 
_Create_

*1.1.1.1.* Once loading the page, I should be able to view the list of already created report agency with following details

* Report Agency  Code

* Report Agency  Name

* Registered Name with Agency

* Trading Name

* Institution Type Code

* Data Provider ID

* Status

* Actions

§  View

§  Update

*1.1.1.2.* I should able to search report agency details by the following search parameters

* Report Agency code

* Report Agency Name

* Status

*1.1.1.3.* I click on “Create new” button.  Then I can see the Report Agency details entering form and able to enter Report Agency details

|*Filed Name*|*Description*|*Data Type*|*Length*|*Presence*|*Update Allow*|
|Report Agency Code|Agency code|Alphanumeric|4 Digits|Mandatory|NO|
|Report Agency Name|Report Agency Name|Alphanumeric|50 characters|Mandatory|Yes|
|Registered Name with Agency|Data Provider’s Registered Name|Alphanumeric|50 characters|Optional|Yes|
|Trading Name|Data Provider’s Trading Name|Alphanumeric|50 characters|Optional|Yes|
|Institution Type|Data Provider’s Institution type code as per the agent’s requirements Example :
B for Banks
D For MFBs
S For Saccos
M for MFIs
L for Leasing Companies|Alphanumeric|4 Digits|Optional|Yes|
|Data Provider ID|Data Provider’s ID (registration number)|Alphanumeric|10 digits|Optional|Yes|
|Status|By default, status will be appearing as “Active”.|Toggle|N/A|Mandatory|yes|
|Created user|Record created user| | |Mandatory| |
|Created date & time|Record created date and time| | |Mandatory| |
|Mod  user|Record modified user| | |Mandatory|yes|
|Mod date & time|Record modified date and time| | |Mandatory|yes|
|Back| |Button| | | |
|Reset| |Button| | | |
|Save| |Button| | | |

Update
6.1.1.1      I click on “update” action.  Then I can see the already -  Report Agency details in the update form and able to able to update below details Report Agency details

|*Filed Name*|*Description*|*Data Type*|*Length*|*Presence*|*Update Allow*|
|Report Agency Code|Agency code|Alphanumeric|4 Digits|Mandatory|NO|
|Report Agency Name|Report Agency Name|Alphanumeric|50 characters|Mandatory|Yes|
|Registered Name with Agency|Data Provider’s Registered Name|Alphanumeric|50 characters|Optional|Yes|
|Trading Name|Data Provider’s Trading Name|Alphanumeric|50 characters|Optional|Yes|
|Institution Type|Data Provider’s Institution type code as per the agent’s requirements Example :
B for Banks
D For MFBs
S For Saccos
M for MFIs
L for Leasing Companies|Alphanumeric|4 Digits|Optional|Yes|
|Data Provider ID|Data Provider’s ID (registration number)|Alphanumeric|10 digits|Optional|Yes|
|Status|By default, status will be appearing as “Active”.|Toggle|N/A|Mandatory|yes|
|Created user|Record created user| | |Mandatory| |
|Created date & time|Record created date and time| | |Mandatory| |
|Mod  user|Record modified user| | |Mandatory|yes|
|Mod date & time|Record modified date and time| | |Mandatory|yes|
|Back| |Button| | | |
|Reset| |Button| | | |
|Save| |Button| | | |

 View 
6.1.1.1      Then I will be able to view the details of already created Report Agency.
*Check :* 

|_Create_
*1.1.1.1.* When click save button and I get a message “Are you sure, you want to create new Agency Code?”
*1.1.1.2*. There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Report Agency  successfully created”
* If not saved successfully, I should receive an unsuccessful message “Report Agency defining Unsuccessful
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen
*1.1.1.3.* Created User/Date/Time should be automatically recorded.
*1.1.1.4.* “Back” Button should be there to navigate to the main screen.  
*1.1.1.5.* “Reset” Button should be there to clear all entered the details.|
|*1.1.2.1.* Should have access to Report Agency Definition Screen.|
|*1.1.3.1.* When I try to save without entering code, it should not allow to do that and message should be appears saying “Report Agency Code is required”
*1.1.3.2.* when I try to enter code with less than or greater than four digits, message should be appears saying “code should contain 4 digits”.
*1.1.3.3*. When I try to enter already exist active Report Agency Code, system should not allow to do that and message should be appears saying, “Report Agency Code cannot be duplicated”.
*1.1.3.4.* When I try to save this screen without Agency Name, message should be appears saying “Report Agency name is required”.
*1.1.3.5.* When I try to save this screen without status, message should be appears saying “Report Agency Status is required”.|

_Update_

|*6.2.3.1*   After updating all required data, I click on “Update” button and I get a message asking “Are you sure, you want to update Report Agency details?”.
*6.2.3.2*   There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Report Agency successfully updated”
* If not saved successfully, I should receive an unsuccessful message “Report Agency updating Unsuccessful
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen
*6.2.3.3*   Modified User/Date/Time should be automatically recorded.
*6.2.3.4*   “Back” Button should be there to navigate to Loan disbursement pending main screen. 
*6.2.3.5*   “Reset” Button should be there to clear all entered the details.|
|*6.2.3.6*   Should have access to Report Agency Definition update option.|
|*6.2.3.1*   After updating all required data, I click on “Update” button and I get a message asking “Are you sure, you want to update Report Agency details?”.
*6.2.3.2*   There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Report Agency successfully updated”
* If not saved successfully, I should receive an unsuccessful message “Report Agency updating Unsuccessful
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen
*6.2.3.3*   Modified User/Date/Time should be automatically recorded.
*6.2.3.4*   “Back” Button should be there to navigate to Loan disbursement pending main screen. 
*6.2.3.5*   “Reset” Button should be there to clear all entered the details.|
|*6.2.3.6*   Should have access to Report Agency Definition update option.|
|*6.2.3.7*   When I try to save this screen without description, message should be appears saying “Report Agency Description is required”.
*6.2.3.8*   When I try to save this screen without status, message should be appears saying “Report Agency Status is required”.|

View 
Should display the created Agency Record",36
PF-5671,QA_Automation_CASA_Customer Management_Confirm Signature,,16
PF-5670,QA_Automation_CASA_Customer Management_Signature Upload,,24
PF-5669,QA_Automation_CASA_Account Opening_SavingAccount_Staff - Data Setup in UAT,,16
PF-5668,QA_Automation_CASA_Account Opening_SavingAccount_Minor - Data Setup in UAT,,16
PF-5667,QA_Automation_CASA_Account Opening_SavingAccount_Personal - Data Setup in UAT,,8
PF-5657,Lending Module | Integration | CRIB reporting  |-Story_02- Third-Party Report Agency Definition - BE and BE_QA,"*Do :* 
_Create_

*1.1.1.1.* Once loading the page, I should be able to view the list of already created report agency with following details

* Report Agency  Code

* Report Agency  Name

* Registered Name with Agency

* Trading Name

* Institution Type Code

* Data Provider ID

* Status

* Actions

§  View

§  Update

*1.1.1.2.* I should able to search report agency details by the following search parameters

* Report Agency code

* Report Agency Name

* Status

*1.1.1.3.* I click on “Create new” button.  Then I can see the Report Agency details entering form and able to enter Report Agency details


|*Filed Name*|*Description*|*Data Type*|*Length*|*Presence*|*Update Allow*|
|Report Agency Code|Agency code|Alphanumeric|4 Digits|Mandatory|NO|
|Report Agency Name|Report Agency Name|Alphanumeric|50 characters|Mandatory|Yes|
|Registered Name with Agency|Data Provider’s Registered Name|Alphanumeric|50 characters|Optional|Yes|
|Trading Name|Data Provider’s Trading Name|Alphanumeric|50 characters|Optional|Yes|
|Institution Type|Data Provider’s Institution type code as per the agent’s requirements Example :
B for Banks
D For MFBs
S For Saccos
M for MFIs
L for Leasing Companies|Alphanumeric|4 Digits|Optional|Yes|
|Data Provider ID|Data Provider’s ID (registration number)|Alphanumeric|10 digits|Optional|Yes|
|Status|By default, status will be appearing as “Active”.|Toggle|N/A|Mandatory|yes|
|Created user|Record created user| | |Mandatory| |
|Created date & time|Record created date and time| | |Mandatory| |
|Mod  user|Record modified user| | |Mandatory|yes|
|Mod date & time|Record modified date and time| | |Mandatory|yes|
|Back| |Button| | | |
|Reset| |Button| | | |
|Save| |Button| | | |

Update
6.1.1.1      I click on “update” action.  Then I can see the already -  Report Agency details in the update form and able to able to update below details Report Agency details

|*Filed Name*|*Description*|*Data Type*|*Length*|*Presence*|*Update Allow*|
|Report Agency Code|Agency code|Alphanumeric|4 Digits|Mandatory|NO|
|Report Agency Name|Report Agency Name|Alphanumeric|50 characters|Mandatory|Yes|
|Registered Name with Agency|Data Provider’s Registered Name|Alphanumeric|50 characters|Optional|Yes|
|Trading Name|Data Provider’s Trading Name|Alphanumeric|50 characters|Optional|Yes|
|Institution Type|Data Provider’s Institution type code as per the agent’s requirements Example :
B for Banks
D For MFBs
S For Saccos
M for MFIs
L for Leasing Companies|Alphanumeric|4 Digits|Optional|Yes|
|Data Provider ID|Data Provider’s ID (registration number)|Alphanumeric|10 digits|Optional|Yes|
|Status|By default, status will be appearing as “Active”.|Toggle|N/A|Mandatory|yes|
|Created user|Record created user| | |Mandatory| |
|Created date & time|Record created date and time| | |Mandatory| |
|Mod  user|Record modified user| | |Mandatory|yes|
|Mod date & time|Record modified date and time| | |Mandatory|yes|
|Back| |Button| | | |
|Reset| |Button| | | |
|Save| |Button| | | |

 
*Check :* 

|_Create_
*1.1.1.1.* When click save button and I get a message “Are you sure, you want to create new Agency Code?”
*1.1.1.2*. There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Report Agency  successfully created”
* If not saved successfully, I should receive an unsuccessful message “Report Agency defining Unsuccessful
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen
*1.1.1.3.* Created User/Date/Time should be automatically recorded.
*1.1.1.4.* “Back” Button should be there to navigate to the main screen.  
*1.1.1.5.* “Reset” Button should be there to clear all entered the details.|
|*1.1.2.1.* Should have access to Report Agency Definition Screen.|
|*1.1.3.1.* When I try to save without entering code, it should not allow to do that and message should be appears saying “Report Agency Code is required”
*1.1.3.2.* when I try to enter code with less than or greater than four digits, message should be appears saying “code should contain 4 digits”.
*1.1.3.3*. When I try to enter already exist active Report Agency Code, system should not allow to do that and message should be appears saying, “Report Agency Code cannot be duplicated”.
*1.1.3.4.* When I try to save this screen without Agency Name, message should be appears saying “Report Agency name is required”.
*1.1.3.5.* When I try to save this screen without status, message should be appears saying “Report Agency Status is required”.|

_Update_


|*6.2.3.1*   After updating all required data, I click on “Update” button and I get a message asking “Are you sure, you want to update Report Agency details?”.
*6.2.3.2*   There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Report Agency successfully updated”
* If not saved successfully, I should receive an unsuccessful message “Report Agency updating Unsuccessful
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen
*6.2.3.3*   Modified User/Date/Time should be automatically recorded.
*6.2.3.4*   “Back” Button should be there to navigate to Loan disbursement pending main screen. 
*6.2.3.5*   “Reset” Button should be there to clear all entered the details.|
|*6.2.3.6*   Should have access to Report Agency Definition update option.|
|*6.2.3.1*   After updating all required data, I click on “Update” button and I get a message asking “Are you sure, you want to update Report Agency details?”.
*6.2.3.2*   There should be two options in the confirmation message “OK” and “Cancel”
* If I click on “OK”, I should receive a successful message “Report Agency successfully updated”
* If not saved successfully, I should receive an unsuccessful message “Report Agency updating Unsuccessful
* If I click on “Cancel”, the pop-up message screen should be cancelled and stay in the confirmation details screen
*6.2.3.3*   Modified User/Date/Time should be automatically recorded.
*6.2.3.4*   “Back” Button should be there to navigate to Loan disbursement pending main screen. 
*6.2.3.5*   “Reset” Button should be there to clear all entered the details.|
|*6.2.3.6*   Should have access to Report Agency Definition update option.|
|*6.2.3.7*   When I try to save this screen without description, message should be appears saying “Report Agency Description is required”.
*6.2.3.8*   When I try to save this screen without status, message should be appears saying “Report Agency Status is required”.|",32
PF-5653,Lending Module | Receipt Allocation BE,"+Do+

# User should be able to login into the system using successful credentials and select the “Loan Account Activation” option.
# In the “Loan Account Activation”, user should be able to choose the “Charge Details” option.

+Check+

# Loan account customer details will be displayed in the “Customer Details” grid, which is under the Initiate Contract option.

   2. In  the “Charge Details” forum, the following options will be available to the user,

*  Direct Debit
* Teller Receipt
*  Settle From Loan
* General Direct Payment

 3. In the “General Direct Payment” option, a pop-up should be display to the user.

(If the General Direct Payment option selected, the following conditions should be satisfied in order to display the receipts,

* Transaction sub type of the receipt should be “Lending”
* All the general direct payment receipts which are relevant to the selected main customer or co-borrower should be loaded)

 4. In the pop-up, already allocated General direct payment receipts for the particular main customer | co-borrower will be displayed to the user or user can search allocated receipt through the “Receipt No” search parameter.

5. The following details of the general direct payment receipt will be displayed to the user,

*  Receipt No
*  Transaction Sub Type
* Customer Name
*  Customer Type (Main Customer / Co-Borrower)
* Receipt Amount
* Action (Check Box)

6. By marking in the check box, user should be able to select particular receipts in order to allocate to the selected main customer | co-borrower. (One or multiple receipts can be selected for allocation)

7. Selected receipt details will be displayed in the “Receipt Details” forum, which includes the following fields,

* Receipt Number
* Receipt Type
* Date
* Amount",20
PF-5632,Cash Module | Branch Wise Teller Creation | Developing a new Functionality | Test scenarios/cases,,16
PF-5631,Cash Module | Assign Main Teller | Developing a new Functionality | Test scenarios/cases,,16
PF-5630,Cash Module | Teller other transactions | Re-print slips/receipts | Developing a new Functionality| Test scenarios/cases,,16
PF-5629,Cash Module | Teller other transactions | Request Cash from Vault | Developing a new Functionality | Test scenarios/cases,,16
PF-5628,Cash Module | Teller other transactions | Accept/Reject Request Cash From Vault | Developing a new Functionality  |Test scenarios/cases,,16
PF-5591,Kenya Live _ TD issues,,12
PF-5589,FD Ownership Transfer_story 15 - FD Ownership Transfer - Approval Screen - Get Created details,,12
PF-5583,Transaction Reference & Statement Reference Mapping | Completing the Initial URS with wireframes,,4
PF-5570,Transaction Reference & Statement Reference | New UI Development | Completing UI/UX Design,"+Do+

# The following should be designed in the settings of the CASA module.

+Check+

# View, Create and Update screens should be designed.",8
PF-5568,Stop Payment Management | Print |print Stop Payment Receipt for Cheque| BE Dev & QA,"+Do+

# In the Status Update Confirmation, by  selecting the “Confirm” button user will get a confirmation message as “Are you sure you want update the cheque leaf status?”
a. Approve: Cheque leaf status will be updated
b. Reject: Cheque leaf status will not be updated and process will be declined.

2. If the “Modified Status” of the cheque displayed as “Stop Payment” and in the confirmation if the user selects the data for the confirmation status field as “Approve”, then “Confirm and Print” button should be displayed at the end.

+Check+

# By choosing the “Confirm and Print” button, A receipt should be generated with the following details.
·        Stop Payment Requested Date
·        Account Holder Name
·        Account Number
·        Cheque Number

2.  If the user wants to reprint the stop payment cheque, then the “Re-print” button should be available in the Status update forum.

(Re-print button is required if the current status of the cheque leaf displayed as “Stop Payment” or if the cheque leaf was marked as “Stop Payment” previously and changed into any other status)

(Current Status – “Stopped” – Re-Print

Previous Status - “Stopped” - Current Status – “Active” - Re-Print)

 3. Generated receipt format should be varied according to different country and company requirements.",44
PF-5562,Account Module | Upload Documents for Stop Payment | File upload  and status approval,"*DO;*

*Status Update*

* User should be able to upload files into the system 
* User should be able to view the uploaded document next to the file upload option.
* If the user wants to add another file , the current existing file will be over written and the latest file will be uploaded 

*Status update confirmation*

User should be able to view the uploaded document in the status approve page and then confirm it

User can select approve or reject for this option , and add remarks before doing so.





CHECK:

* Check if the user can upload documents 
* Check if the uploaded document can be viewed next to it 
* Check if the  uploaded document is visible in the status approval confirmation.



Please note that the status approval unit is not yet developed ",36
PF-5561,Product Definition (CASA/ Lending / TD) | Common UI (MAP) | Development of View Mappings BE APIs,"+*Do*+

Develop APIs to get the Mapping details of sub product template mappings mappings 

for CASA, Lending and TD modules



+*Check*+

* Check how the API handles error scenarios (e.g., incorrect endpoint, invalid parameters).
* Verify that error responses provide meaningful error messages and appropriate status codes.
* Test the API with different combinations of parameters and query strings.
* Verify that the API handles optional and mandatory parameters appropriately.
* check the CASA , TD and Lending APIs separately.  ",32
PF-5557,Proceeds Handling | Loan settlement from Loan disbursement - Dev,"*DO* 

Currently, four more dropdowns should be added to add external facility to the add disbursement details page in the module. there are,

|*Filed Name*|*Description*|*Data Type*|*Length*|*Presence*|*Update Allow*|
|Facility Type|Select facility type|Drop Down| |Mandatory| |
|Settlement Type|Select settlement type|Drop Down| |Mandatory| |
|Modules|Select module|Drop Down| | | |
|Facility Name|Select facility name|Drop Down| | | |

Should be able to fill out following fields once after clicking on “Select” action in phases. At default fields should be blank, so that user should be able to add data to those fields.
•	Payee Type
•	Payee Name
•	Facility Type
•	Amount
•	Pay Method
•	Disbursement condition
•	Bank
•	Branch
•	Account
•	Comment
•	Modules
•	Facility Name
•	Settlement Type

Under Facility Type should display below two options,
•	Internal Facility  
•	External Facility 

Under Facility Name should display below details.
•	Loan
•	Lease

Current Account
•	Credit Card

Settlement type as below,
•	Own
•	Other

*Scenario 1 (Already Done)*
At the scenario 1 user needs to choose below,
Facility Type -> Internal Facility
Settlement Type -> Own
User be able to disburse an amount to settle an internal own credit facility.

*Scenario 2*
At the scenario 2 user needs to choose below. User can use this to utilize credit facilities that took from an external bank.
Facility Type -> *External Facility*
Settlement Type -> Own
Pay method should already selected to be Savings Account and by filling Account, Bank and Branch user should be able to fund transfer the amount to the savings account.
Payee Name option should change as a text field and Account Number should change as an alpha numeric field after select above facility type and settlement types.

*Scenario 3 (Already Done)*
At the scenario 3 user needs to choose below,
Facility Type -> Internal Facility
Settlement Type -> Other
User be able to settle a credit facility of another internal user.
Pay method should already selected to be Savings Account and by filling Account, Bank and Branch user should be able to fund transfer the amount to the savings account.

*Scenario 4*
At the scenario 4 user needs to choose below,
Facility Type -> *External Facility*
Settlement Type -> Other
User be able to settle a facility of another external user
Pay method should already selected to be Savings Account and by filling Account, Bank and Branch user should be able to fund transfer the amount to the savings account.
Payee Name option should change as a text field and Account Number should change as an alpha numeric field after select above facility type and settlement types.

Should be able to settle multiple facilities if needed.
Account should be there to search and select the account for scenario 2 and 4. Click on the space a pop up should appear to search through customer and search through loan account number.

At Settlement Type there are two customer segments to select such as Own and Other. For Own, users be able to map disbursement methods for the appraisal related customer. For Other, user be able to map disbursement methods for any other person.

should be display the respond messages.

*check* 

Currently, four more dropdowns have been added to add external facilities to the Additions details page in the module and check that they appear as below.
Filed Name

•	Payee Type
•	Payee Name
•	Facility Type
•	Amount
•	Pay Method
•	Disbursement condition
•	Bank
•	Branch
•	Account
•	Comment
•	Modules
•	Facility Name
•	Settlement Type

|*Filed Name*|*Description*|*Data Type*|*Length*|*Presence*|*Update Allow*|
|Facility Type|Select facility type|Drop Down| |Mandatory| |
|Settlement Type|Select settlement type|Drop Down| |Mandatory| |
|Modules|Select module|Drop Down| | | |
|Facility Name|Select facility name|Drop Down| | | |

Under Facility Type should display below two options,
•	Internal Facility  
•	External Facility 

Under Facility Name should display below details.
•	Loan
•	Lease

Current Account
•	Credit Card

Settlement type as below,
•	Own
•	Other

Check if multiple facilities can be provided if required.

For cases 2 and 4 the account must be present to search and select the account. Check if a popup appears to search by customer and search by credit account number.

There are two customer segments to choose settlement type i.e. own and other. On their own, users can map allocation methods for the customer relevant to the evaluation. For others, check if the user can map the allocation methods for any other person.

Check if response messages are displayed.",44
PF-5547,Update TD and CASA User Manuals with the New Release functions,,8
PF-5546,Lending Module | Purchase order cancellation and regeneration | Completing the Initial URS with wireframes,,8
PF-5545,Create User Manual for Cash Module and Presentation to Cover all the Functions,,40
PF-5544,Create User Manual for Cash Module (SUPPORT),,4
PF-5542,Check Live Function (OD) Kenya Live and Identify Issues and get Rectify,,24
PF-5541,Lending Module | Legal Integration | Identify the Touch points and Finalize the Flow Diagram,"Required

h4. Identify the Touchpoints

Finalize the Flow Diagram

Create the Required Jira Stories",8
PF-5537,Check Live Function (CASA) Kenya Live and Identify Issues and get Rectify,,16
PF-5535,Check Live Function (TD) Kenya Live and Identify Issues and Get Rectify,,16
PF-5534,Check Live Function (Account) Kenya Live and Identify Issues,,8
PF-5533,Check Live Function (TD) Kenya Live and Identify Issues,,8
PF-5529,Enable Intrest Modification in account level | Listing and Estimating All the Development Stories,,8
PF-5527,Enable Intrest Modification in account level | Reviewing and Completing the URS 1.0v,,8
PF-5526,Enable Intrest Modification in account level | Completing the Initial URS with wireframes,,16
PF-5524,Lending Module | Charges | Negotiation | Identify the Requried Process Changes and Finalize the Common Requriment of Introducting Cap Limit,,16
PF-5523,Account Module | Charges Deactivation | Identify the Process Gaps,,16
PF-5511,CASA -> Statement -> Single Printing-> should change the Name to the Account Name,"Do: Replace Account Name to the Name

check: check the replaced Account Name to the Name

!image-20240123-090854.png|width=1471,height=757!",6
PF-5509,Casa - Fund reservation Inquiry search parameter change,"Do:

should stop the initial all records displaying. 

when load the screen, initial screen should be a empty one and should load the data regarding to the search parameters.

should add below search parameters.

* Account Number
* Fund Reservation Amount (should get the equal amount)
* Fund Reservation Priority
* Fund Reservation Status



Check:

check if stopped the initial all records displaying. 

check when load the screen, initial screen should be a empty one and should load the data regarding to the search parameters.

check added below search parameters.

!image-20240123-090452.png|width=1768,height=726!",20
PF-5489,Transaction Inquiry | Rearrange the UI Components | Listing and Estimating All the Development Stories,,4
PF-5488,Transaction Inquiry | Rearrange the UI Components | Completing UI/UX Design,,4
