issuekey,title,description,storypoint
PF-9736,Supplier Management | Add GPS Provider |Entity Type- BE," do    user should be able to click on “ entity type ”, on settings in common module.   user should be able to view the entity types record with following columns.    code   name   status   action [update]   user should be able to search records by  search parameters.   paginations should be there to move around pages.   create new button should be there to go the create new screen.    update action should be there to update.   check     user should be able to click on “ entity type ”, on settings in common module.   user should be able to view the entity types record with following columns.    code   name   status   action [update]   user should be able to search records by below search parameters.    code   name   status   paginations should be there to move around pages.   create new button should be there to go the create new screen.    update action should be there to update.",8
PF-9733,Yard Module Integration | Integration | Reviewing and Gap and lineup the User Stories Requried,nan,8
PF-9732,Yard Module | Integration | Identify the touch points and complete the Flow Diagram,nan,16
PF-9730,COB Module | Master Data Mapping | QA,"already developed    do   check whether the key person and beneficiary owner mapping is correct for the legal structure settings in common module.     key person create, update, view    beneficiary owner create, update, view   legal structure setting initial screen   !image 20240320 041030.pngwidth=1518,height=731!  key person update and create   !image 20240320 041334.pngwidth=1518,height=722!  beneficiary owner update & create   !image 20240320 042119.png|width=1518,height=750!",16
PF-9716,Cash Module | Central Cash Management | Loans Against Term Deposit Payments | Review,nan,4
PF-9710,Remittances | FCY Draft Issuance | Cheque realization | Listing and Estimating All the Development Stories,nan,8
PF-9708,Remittances | FCY Draft Issuance | Cheque realization | Reviewing and Completing the URS 1.0v,nan,8
PF-9707,Remittances | FCY Draft Issuance | Cheque realization | Completing the Initial URS with wireframes,nan,16
PF-9700,GL Mapping | Epic Rearrange with module wise TD & Lending | List All & Estimation Finalization,nan,2
PF-9699,QA_Automation_CASA_Cheque Book_Cheque Book Inquiry,nan,8
PF-9698,QA_Automation_CASA_Cheque Book_Status Update,nan,8
PF-9697,QA_Automation_CASA_Cheque Book_Cheque Book Collection Acknowledgement,nan,16
PF-9696,QA_Automation_CASA_Cheque Book_Pending Cheque Book,nan,8
PF-9693,Integration | Zambia Transaction SMS integration | 1 Minute Scheduler method to send transaction AlertLog to alert management.,should be implement in casa transaction  schedulerexecutor class.,64
PF-9691,Integration | Zambia Transaction SMS integration | Zambia SMS service integration,"should be modify below code in alertexecutionserviceimpl.  !image 20240319 070715.png|width=1087,height=302!   need to implement new method using below curl as a zambia sms  sender.  curl  location ' \  header 'content type: application/json' \  data raw ''",32
PF-9688,QA_Automation_Code Review Fixes in TD,nan,20
PF-9598,Enable of Centralized and Decentralized Process | Verify the Identify Touch Points and allign the User Stories/Epics,nan,16
PF-9595,Fund Transfer based on the payment voucher confirmation | Listing and Estimating All the Development Stories,nan,8
PF-9593,Fund Transfer based on the payment voucher confirmation | Reviewing and Completing the URS 1.0v,nan,8
PF-9592,Fund Transfer based on the payment voucher confirmation | Completing the Initial URS with wireframes,nan,16
PF-9591,Post Yard Management | Bulk Update For Advertising Data | Adding an extra column for tender and auction,add an extra column in the excel sheet as tender/auction date,8
PF-9585,Alerts Generation | User Alerts | Listing and Estimating All the Development Stories,nan,8
PF-9582,Alerts Generation | User Alerts | Reviewing and Completing the URS 1.0v,nan,8
PF-9581,Alerts Generation | User Alerts |  Completing the Initial URS with wireframes,nan,16
PF-9580,Alerts Generation | User Alerts | Finalize the Requried User Stories and lineup with the Functions,nan,8
PF-9578,Alerts Generation | User Alerts | Identify the requried touch points to send the Notifications and finalize the Flow diagram,nan,16
PF-9575,Account Module | Finance GL Account Mapping | CR - Global Level & Main product level GL setup," do   gl entry posting backend job also should be considered  global ,  main product & sub product wise  related gl setup for the entry posting point.    check    global ,  main product & sub product wise  gl entry posting with all gl setup   multiple setup should net be allow to setup the entries under 3 categorizations  (global, main product & sub product) ",20
PF-9568,Alerts Generation | User Alerts | Listing and Estimating All the Development Stories,nan,8
PF-9566,Alerts Generation | User Alerts | Reviewing and Completing the URS 1.0v,nan,8
PF-9565,Alerts Generation | User Alerts |  Completing the Initial URS with wireframes,nan,16
PF-9564,Alerts Generation | User Alerts | Finalize the Requried User Stories and lineup with the Functio,nan,8
PF-9563,Alerts Generation | User Alerts | Identify the requried touch points to send the Notifications and finalize the Flow diagram,nan,16
PF-9562,Accounts Module | Clearing Additional Day Marking | General Setting modifcation & Account inquiry modification - Frontend,do     add a option to set the cheque clearance parameter under casa general setting.    after select the ca toggle user able to enter the no of days. no of days should validate. more than 30 days user cannot enter.    system should calculate the forecasted cheque realization date.   to calculate the date system should check the clearing calendar also.    calculated date should be display in account inquiry.  check     check the calculated date based on the general settings and clearing holiday.    check calculated date correctly display in account inquiry page.,18
PF-9561,Accounts Module | Clearing Additional Day Marking | General Setting modification & Account Inquiry - Backend,do     add a option to set the cheque clearance parameter under casa general setting.    after select the ca toggle user able to enter the no of days. no of days should validate. more than 30 days user cannot enter.    system should calculate the forecasted cheque realization date.   to calculate the date system should check the clearing calendar also.    calculated date should be display in account inquiry.  check     check the calculated date based on the general settings and clearing holiday.    check calculated date correctly display in account inquiry page.,24
PF-9559,Remittances | FCY Draft Issuance | FCY Confirmation Counter - Frontend/QA,"do    counter cash fcy confirmation     user should be able to see the pending confirmation fcy cheque   user able to select require transaction.   the entered details will display. confirmation user cannot edit the transaction details.   based on the data user able to make the decision.   if approved user able to print the cheque. the transaction should be applied t0 the transaction table.   based on the gl mapping the double entry need to create. ( temporary entry need to process)    if user select reject option transaction need to reject.    confirm user, date and branch should update.    fcy need to create, and transaction should be under approve status.    data should be updating relevant tables.   check    after approve transaction should be apply to transaction table    transaction pending status need to change to approved status.    if rejected transaction should be reverse and status should be update as rejected.    confirm user, date and branch should update.    fcy need to create, and transaction should be under approve g status.    gl entry should be apply.   data should be updating relevant tables. ",64
PF-9558,Remittances | FCY Draft Issuance | FCY Creation Counter - Frontend/QA,"do    if user selected counter cash deposit. the system should map with cash in hand account. the collected amount will be deposited to this account.   user should be able to select the cheque creation bank.   user should be able to enter the local amount. the value should be validate based on thousand separators and decimal places should be based on currency master and currency exchange rate.   user able to select the required currency and user able to see the latest currency exchange rate.   cheque amount should be calculated based on the local amount.   user should be able to enter the cheque number.   user should be able to enter any reference number if required.   if user need to enter any note, user can add the note in note field.   created user, date and branch should update.   fcy need to create, and transaction should be under pending status.   data should be updating relevant tables.  check    transaction should be created.   mapping charges should be calculated based on cash management product charges.   tax calculation should be calculated based on the customer tax profile.   created user, date and branch should update.   fcy need to create, and transaction should be under pending status.   data should be updating relevant tables.",52
PF-9557,Remittances | FCY Draft Issuance | FCY creation & Confirmation Counter  - Backend,"do    counter cash fcy creation    if user selected counter cash deposit. the system should map with cash in hand account. the collected amount will be deposited to this account.    user should be able to select the cheque creation bank.   user should be able to enter the local amount. the value should be validate based on thousand separators and decimal places should be based on currency master and currency exchange rate.   user able to select the required currency and user able to see the latest currency exchange rate.   cheque amount should be calculated based on the local amount.   user should be able to enter the cheque number.   user should be able to enter any reference number if required.   if user need to enter any note, user can add the note in note field.   created user, date and branch should update.    fcy need to create, and transaction should be under pending status.    data should be updating relevant tables.   check    transaction should be created.   mapping charges should be calculated based on cash management product charges.    tax calculation should be calculated based on the customer tax profile.    created user, date and branch should update.    fcy need to create, and transaction should be under pending status.    data should be updating relevant tables.     do    counter cash fcy confirmation     user should be able to see the pending confirmation fcy cheque   user able to select require transaction.   the entered details will display. confirmation user cannot edit the transaction details.   based on the data user able to make the decision.   if approved user able to print the cheque. the transaction should be applied t0 the transaction table.   based on the gl mapping the double entry need to create. ( temporary entry need to process)    if user select reject option transaction need to reject.    confirm user, date and branch should update.    fcy need to create, and transaction should be under approve status.    data should be updating relevant tables.   check    after approve transaction should be apply to transaction table    transaction pending status need to change to approved status.    if rejected transaction should be reverse and status should be update as rejected.    confirm user, date and branch should update.    fcy need to create, and transaction should be under approve g status.    gl entry should be apply.   data should be updating relevant tables. ",56
PF-9553,Remittances | FCY Draft Issuance | FCY Confirmation CASA A/C - Front end/QA,"do   casa fcy confirmation     user should be able to see the pending confirmation fcy cheque   user able to select require transaction.   the entered details will display. confirmation user cannot edit the transaction details.   based on the data user able to make the decision.   if approved user able to print the cheque. the transaction should be applied t0 the transaction table.   based on the gl mapping the double entry need to create. ( temporary entry need to process)   if user select reject option transaction need to reject.    confirm user, date and branch should update.   fcy need to create, and transaction should be under approve status.   data should be updating relevant tables.  check    after approve transaction should be apply to transaction table   transaction pending status need to change to approved status.   if rejected transaction should be reverse and status should be update as rejected.   confirm user, date and branch should update.   fcy need to create, and transaction should be under approve g status.   gl entry should be apply.   data should be updating relevant tables.",80
PF-9552,Remittances | FCY Draft Issuance | FCY Creation & Confirmation CASA A/C - Backend,"do     casa fcy creation     user should be able to search required relevant account. the account should be validate based on the transaction event.    user should be able to select the cheque creation bank.   user should be able to enter the local amount. the value should be validate based on thousand separators and decimal places should be based on currency master and currency exchange rate.   user able to select the required currency and user able to see the latest currency exchange rate.   cheque amount should be calculated based on the local amount.   user should be able to enter the cheque number.   user should be able to enter any reference number if required.   if user need to enter any note, user can add the note in note field.   created user, date and branch should update.   fcy need to create, and transaction should be under pending status.   data should be updating relevant tables.   check     transaction should be created.   mapping charges should be calculated based on casa product charges.   tax calculation should be calculated based on the customer tax profile.   created user, date and branch should update.   fcy need to create, and transaction should be under pending status.   data should be updating relevant tables.    do   casa fcy confirmation     user should be able to see the pending confirmation fcy cheque   user able to select require transaction.   the entered details will display. confirmation user cannot edit the transaction details.   based on the data user able to make the decision.   if approved user able to print the cheque. the transaction should be applied t0 the transaction table.   based on the gl mapping the double entry need to create. ( temporary entry need to process)   if user select reject option transaction need to reject.    confirm user, date and branch should update.   fcy need to create, and transaction should be under approve status.   data should be updating relevant tables.  check    after approve transaction should be apply to transaction table   transaction pending status need to change to approved status.   if rejected transaction should be reverse and status should be update as rejected.   confirm user, date and branch should update.   fcy need to create, and transaction should be under approve g status.   gl entry should be apply.   data should be updating relevant tables.",40
PF-9548,Remittances | FCY Draft Issuance | FCY Creation CASA A/C - Front end/QA,"do      user should be able to search required relevant account. the account should be validate based on the transaction event.    user should be able to select the cheque creation bank.   user should be able to enter the local amount. the value should be validate based on thousand separators and decimal places should be based on currency master and currency exchange rate.   user able to select the required currency and user able to see the latest currency exchange rate.   cheque amount should be calculated based on the local amount.   user should be able to enter the cheque number.   user should be able to enter any reference number if required.   if user need to enter any note, user can add the note in note field.   created user, date and branch should update.   fcy need to create, and transaction should be under pending status.   data should be updating relevant tables.   check     transaction should be created.   mapping charges should be calculated based on casa product charges.   tax calculation should be calculated based on the customer tax profile.   created user, date and branch should update.   fcy need to create, and transaction should be under pending status.   data should be updating relevant tables.",76
PF-9542,Alerts Generation | Customer Alerts | Listing and Estimating All the Development Stories,nan,8
PF-9540,Alerts Generation | Customer Alerts | Reviewing and Completing the URS 1.0v,nan,8
PF-9539,Alerts Generation | Customer Alerts | Completing the Initial URS with wireframes,nan,16
PF-9538,Alerts Generation | Customer Alerts | Finalize the Requried User Stories and lineup with the Function,nan,8
PF-9536,Alerts Generation | Customer Alerts | Identify the requried touch points to send the Notifications and finalize the Flow diagram,nan,16
PF-9529,Alerts Generation (Schedule Failures) | Listing and Estimating All the Development Stories,nan,8
PF-9527,Alerts Generation (Schedule Failures) | Reviewing and Completing the URS 1.0v,nan,8
PF-9526,Alerts Generation (Schedule Failures) | Completing the Initial URS with wireframes,nan,16
PF-9525,Alerts Generation (Schedule Failures) | Finalize the Requried User Stories and lineup with the Function,nan,8
PF-9524,Alerts Generation (Schedule Failures) | Identify the requried touch points to send the Notifications and finalize the Flow diagram,nan,16
PF-9520,Report | Back dated portfolio detail Report | Listing and Estimating All the Development Stories,nan,8
PF-9518,Report | Back dated portfolio detail Report | Reviewing and Completing the URS 1.0v,nan,8
PF-9517,Report | Back dated portfolio detail Report | Completing the Initial URS with wireframes,nan,16
PF-9514,Inventory Module | Finalize Remaining work and obtain the Tshirt Size for any Gaps (Ready for Dev 02),nan,8
PF-9513,Rearrange the FusionX Shared Folder (2),nan,8
PF-9512,ATM Module | UAT Support 2,nan,8
PF-9508,Reward Management | Finalize the Process Flow of DSA Function,nan,8
PF-9507,COB Module | User Manual Update | 1.2v,nan,8
PF-9506,ATM Module | Implmentation for Zambia | UAT Support,nan,10
PF-9505,Payment Module | Finalize the URS and Transfer remaining to Ready for Dev (All),nan,10
PF-9504,Lending Module | Process Walkthrough to Identify UI enhancments and User Journeys,nan,8
PF-9488,Cash Module | Process Walkthrough and UAT Support,nan,24
PF-9487,Cash Module | Process Walkthrough and UAT Support,nan,16
PF-9482,Branch Teller Other Operations | Rounding Off Entries | Update Functionality," do   1. in the view screen , if the created batch is in “pending” status, then “update” functionality is required.  2. by choosing the “update” option, user should navigate to the “update” screen.  3. in the screen the following details should display to the user,  (details given in the rounding off entry creation)    till name   transaction date   transaction reference number   transaction type   transaction description   teller name    amount    actual transaction amount   rounding off limits  # user should be able to update the transactions , according to it “total rounding off” should display to the user. # by selecting the “confirm” button, selected batch details should be updated.    check   # “update” functionality should be displayed only if the batch is in “pending” status. # user should not be able to update the “till name” field. # user should be able to update the transactions, accordingly total rounding off should be updated. # by selecting the “confirm” button, selected batch details should be updated. # the following role should be created and permissions should be implemented,     teller roundingentry update",46
PF-9474,Common Settings | Chanel Level Definition | Chanel UI modifcation, do:        should be able to view the created channel level    check:      ,24
PF-9464,COB | Customer Onboarding | PEP Approval Modification | finalize Technical design BE,nan,4
PF-9459,Account Module | UI Revamp | Fund Reservation Management | Development," do   according to the given ui design in the account module,     fund reservation creation    update pending fund reservation    confirm fund reservation   it should be changed according to the correct format and colors     check    according to the given ui design in the account module,     fund reservation creation    update pending fund reservation    confirm fund reservation   check if it has been changed according to the correct format and colors.",52
PF-9458,COB | Customer Onboarding | PEP Approval Modification | Development," do   scenarios 1  when a pep approval is pending submitting new customer update request ,  except : should not create new a pep approval request at customer update  scenarios 2  update the pep status as “no” ,  except : pep update should be summited for an approval  scenarios 3  update the pep status , when another pep approval is pending  except : should not allow to send a new pep update when another pep update is pending for approval     check    senarios 01 while awaiting pep approval to submit a new customer update request, check that a new pep approval request is not created during the customer update  senarios 02 check if pep status is updated to ""no"" ,  except: pep must be summit for updated approval  senarios 3  check if pep status is done pending another pep approval,  except: check if a new pep update is not allowed to be sent while another pep update is pending approval.",24
PF-9454,Cash Module | General Cash Voucher Payments | Listing and Estimating All the Development Stories,nan,8
PF-9452,Cash Module | General Cash Voucher Payments | Reviewing and Completing the URS 1.0v,nan,8
PF-9445,Standing Order | SI Suspend | BE Schedule Process," do      when processing standing orders, system should check standing orders are hold.   check     when processing standing orders, system should check standing orders are hold.   already hold standing orders should not be processed.",32
PF-9444,Standing Order | SI Suspend |Confirming standing order - Confirm FE," do      user select the confirm standing order option it will navigate to “confirm standing order” page.    “hold pending” tab should be added to the existing screen.     after holding the standing order, it will park on the “hold pending tab”     hold standing order should be searched by the casa account number as the search parameter.     under the standing order details section, below already added details related to relevant standing order should be displayed in disable mode.     in the last section named as standing order hold details, below fields should be displayed.    selected hold time period from   selected hold time period to   added comment   uploaded document     user should be able to approve or reject the hold request of standing order.     check     user select the confirm standing order option it will navigate to “temporary hold standing order” page.   “hold pending” tab should be added to the existing screen.     after holding the standing order, it will park on the “hold pending tab”    hold standing order should be searched by the casa account number as the search parameter.   after searching by the casa account number standing order details should be displayed in the grid with following columns.    customer name   account number   account name   action [select]   after selecting the standing order, order details display under three section.    account details   standing order details   standing order hold details   under the account details section, in a grid below details should be displayed.    schema name   account number   name   status    under the standing order details section, below already added details related to relevant standing order should be displayed in disable mode.     when user selects “fix” as standing order type, below details should be displayed in a disable mode.    first payment amount   recurring payment date   recurring payment amount   frequency   total number of payments   final payment amount   priority   processing type   payment mode   account types   notes   attached document    .    when user selects “condition” as standing order type, below details should be displayed in a disable mode.    account number   amount type   account balance conditions   account balance amount   account balance indicator   account balance indicator type   notes   attached document    in the last section named as standing order hold details, below fields should be displayed.    selected hold time period from   selected hold time period to   added comment   uploaded document     user should be able to approve or reject the hold request of standing order.",32
