issuekey,title,description,storypoint,split_mark
BAM-3634,Alert users of builds which can not be built by any agents,bamboo should alert the user if a plan can not be built for a period of time.  this should be set by default and overridden or removed by the user if necessary.    this will avoid the following:    ,1,train
BAM-3676,"Reliably Reproduce ""BAM-3244 Fix hanging agents""",nan,8,train
BAM-3679,Patch ActiveMQ to fix the code problem to fix hanging agent problem,"relies on bam 3676.  this is the minimal patch that we could ship to customers.  this does not imply creating a activemq branch that atlassian maintain, etc, etc.",3,train
BAM-3681,Reproduce BAM-3643 - Extreme CPU spike on BEAC,we have little idea what this could be and have not had much success repro'ing it.,12,train
BAM-3683,BAM-3495 Fixing borked status,nan,8,train
BAM-3685,Support bundled plugins in Bamboo,nan,5,train
BAM-3693,Add the ability to sleep before collecting artifacts to a bamboo agent,"when the build ends, bamboo sweeps up the artifacts.  i'd like a system property on the agent which could introducce a small sleep.  this would be to allow the build to settle down and save all its artifacts before the agent comes along to collect them.",2,train
BAM-3695,Bamboo Specfic Functional Tests for SAL Intefaces,all the ctk testing plugin does is generic testing that the interfaces return something.   we need to write some bamboo specific tests which ensure bamboo is actually doing the right thing underneath those sal calls.    ,3,train
BAM-3718,Implement SAL Interfaces Part 3,implement the interfaces which didn't make it into the last milestone.  see this page for details on which items missed out   http:/extranet.atlassian.com/display/bamboo/bamboosalcompatability workinprogress,5,train
BAM-3724,Spike - Deploy gadget server into Bamboo with a Hello world gadget to prove it,estimates to include infrastructure  assuming plugins 2 is done  depends on implement sal pt 2  no authentication mechanism yet  see where this can be consumed. not sure if ref app can consume.  timebox this spike to 1 person iteration  ,12,train
BAM-3728,BAM-3674 (Regression) - Incorrect display of faiing since test,investigation required  keep sam berlin happy  to be done on stable branch for 2.2.2  ,5,train
BAM-3731,BAM-3717 (Regression) - :: in test names throws error,need to escape properly  to be done on stable branch for 2.2.2  ,2,train
BAM-3733,Implement Bundled Plugins Part 2,delivery mechanism for the gadget server.    try plugin that is known to work (sal)  ,1,train
BAM-3735,REST Module type plugin point,drop in the plugin   ,2,train
BAM-3737,REST endpoint for build status gadget,requires mockups done  ,3,train
BAM-3740,Gadget - User can authenticate through a gadget,this means manual username/password must be inputted. should use basic auth    not oauth (will be obselete with oauth)  ,3,train
BAM-3742,Gadget - User can see the status of favourite plans ,interactions are links back to the server only    edwin to get ui teams to give some mock ups  ,5,train
BAM-3745,Gadget - User can see the status of the recent 5 builds of favourite plans in the existing status gadget,just the display. rest should provide info    need mockup for this   story assume that mockup is there already  ,3,train
BAM-3748,Gadget - User can select which plans they want to watch,"selection based on read permissions of the authenticated user    can pick between individual plans or their favourite plans    whilst selecting, the favourited should still be indicated (up top)    storage of configuraiton on the gadge consumer  ",5,train
