issuekey,title,description,storypoint,split_mark
APSTUD-2120,Menus aren't visible in Ubuntu Unity window manager,aptana doesn't show the menu bar in unity window manager on ubuntu 10.10+,8,train
APSTUD-2129,"""select tag area"" feature","/assigned to /  tender discussion #896/. see tender request below. suggestion is  to allow oneclick or shortcut access to select the content of a  tag pair. suggest modifying html ruble command to select tag pair  and content to just select tag content/  /  /on october 2008 i made this feature request./  /http:/support.aptana.com/asap/browse/stu2511/  /""select tag area""/  /this is a feature that every text editor should have, if it is  designed to edit html, xhtml or any syntax that envelopes content  in matched tags./  when it is available, it significantly cuts down on the time spent  editing complex markup./  /unfortunately, only one tool i know of has this. quanta plus. an  old, buggy and tired editor that i can't live without./  /this feature becomes indispensible once you are familair with  it./  /so, i logged a request back in october 2008, when a much earlier  version on aptana is in circulation./  i occaisonally fire up aptana to remind myself of it's potential,  and to make sure i haven't overlooked any kiler features that make  me stick with it./  /but, i'm afraid that i'm dissapointed that this basic feature is  still unavailable. and i can't justify using aptana for future  projects./  /at the moment i am using quanta and a heavily customized emacs  environment that allows me to code freely in html, css, js, php,  python and my frameworks of choice. i dislike having to use more  then one text editor. i'd love to just use aptana. but, without a  feature analogous to ""select tag area"", i'm afraid it's game  over./  /",5,train
APSTUD-2134,Add .location property to file templates,"/from the current system:/  /  /template ""custom template"" do     t.filetype = "".html""    t.invoke do       envmatchtt|    t.filetype = "" .html""    t.location = ""templates/html5.html""  end/  /  /by default this would do environment substitution./    also add a ""replace_parameters"" setting to allow turning on/off parameter substitution (identical to project templates)",1,train
APSTUD-2186,Chromium: Update WebKit Browser implementation to cef_rev392,nan,20,train
APSTUD-2252,Warn user if they are creating project in an area with pre-existing files,"/this change should apply to /all/ new project wizards we  support./  /if a user unchecks the ""use default location"" checkbox, provide  a warning message right below the location field indicating if the  location in question already has pre existing files. since the path  can be long, make sure it's easy to see the full path to which the  user is saving the project./",1,train
APSTUD-2286,Implement improved terminal hyperlink detection,"on terminal windows with a long history of output (a couple pages), scrolling up with the mouse wheel will jump back down once it reaches a certain point. however, if you manually drag the scroll bar up, you can see history beyond the jumping point. i've seen this reproducible on allen's machine when you tail rails logs. you can see similar symptoms in the attached movie.    a short investigation showed that the issue relates to the implementation of hyperlink detection in terminal. disabling hyperlink detection eliminates the issue.    suggested fix: re implement hyperlink detection code to make it free of scrolling/drawing issues.",8,train
APSTUD-2345,Add color preview support for SASS editor,"sass editor doesn't support color preview in way of css editor does.    build:  aptana studio 3, build: 3.0.2.201105022257  build date: 02 may 2011, 22:59:13  ",5,train
APSTUD-2430,Find bar should auto-select search text when opened,/currently if you open the find bar with ctrlf (when no text is  selected) it just places the cursor at the beginning of the input   i think it should automatically select the contents of the input so  that you can just start typing immediately to replace whatever your  last search was./,5,train
APSTUD-2451,Support CoffeeScript syntax coloring,/we should support syntax highlighting/coloring for coffeescript  files: /http:/jashkenas.github.com/coffeescript/,1,train
APSTUD-2573,Pydev local import quick fix does not condense imports from same file,"/to reproduce:/  /  /class eggs(object):    def spam():      from string import template      return template('')  digits # press ctrl1 on this line. hold down ctrl while selecting from string for 'string.digits'/  /  /result:/  /  /class eggs(object):    def spam():      from string import template    from string import digits      return template('')  digits/  /  /expected:/  /  /class eggs(object):    def spam():      from string import template, digits      return template('')  digits/  /",1,train
APSTUD-2691,Add F2 support for Content Assist Hover,"f2 should pop up the content assist tooltip, or if hovering over content, f2 will provide focus.",20,train
APSTUD-2705,Expand / Collapse icons in Project Explorer drawn with 1px borders,please see attached screenshot   the icons for expand / collapse are now rendered with a white 1px border surrounding them making them look a bit ugly.  ,13,train
APSTUD-2708,Allow colorization of folding/line number area in editor gutter,"in studio 2, we could custom color the area where line numbers and folding markers site (see image). we seem to have lost this ability in studio 3.",1,train
APSTUD-2710,"Allow us to set a flag on ParseNodes to filter them our of outline, but to include their children","sometimes we have ast nodes which we want to denote structure or something internally but make no sense in the outline. we should have a field and code in common to easily ""skip""/""flatten"" these node types (i.e. ruby's blocks, we want the vars inside but we don't want to show the block; if/for/else/switch)   in this case meaning, don't show this node, but do show relevant children.",1,train
APSTUD-2712,Allow per-project formatter settings,"rather than having formatter settings apply to all projects globally, allow for per project settings.",1,train
APSTUD-2715,"Code assist ""explanation"" overlays on top of code assist dropdown overlay.","when the code assist dropdown selector overlays the code, the 2nd overlay explaining the selector lays on top of the selector instead of out to the side.  i cannot see the possible choices because the 2nd overlay is in the way.",1,train
APSTUD-2717,Code assist cancels out if using quotations on javascript opener tags,"when typing ""<script language=..."" the code assist overlay pops up, however if i use quotations after the equals sign, the code assist fails to appear.    aptana studio 2 allows me to format the code here how i please.",1,train
APSTUD-2727,Add support for JavaScript white-space code formatting,add js formatting options to control the spaces between the js elements.,1,train
APSTUD-2728,Add warning when adding a theme rule that duplicates an existing rule,"when adding a new rule to a theme, it's possible a user may add a rule that duplicates an existing one by trying to color the same scope. the user is confused because the new rule generally won't work.    suggest popping up a warning dialog indicating that the another rule exactly matches the current definition, and ask them if they would like to edit that rule instead.    ""rule rule exactly matches this definition. would you like to edit that rule instead?""    options:  yes, and delete this rule  no    this could possibly be done as a warning as well. some ui experimentation might be necessary to see what is most intuitive.",8,train
APSTUD-2733,Separation for PHP element colouring,"separation for php element colouring (public, private, abstract, static, etc., etc.)",1,train
APSTUD-2752,Support Ruby Watch Expressions,"support watch expressions in ruby. looks like we can just port the rdt impl over easily. it's a single class with a couple nested classes in it, and it gets registered via a debug.core extension point.",8,train
APSTUD-2758,Display a helpful error message when self-closing a non-void HTML tag,"two different related scenarios here:    1 steps to reproduce: enter / in an html edit window    actual result: errors window shows ""video is not recognized!""  expected result: errors window shows something like ""selfclosing syntax (/>) used on a nonvoid html element.""    2 steps to reproduce: enter / in an html edit window    actual result: no result (no error is displayed)  expected result: errors window shows something like ""selfclosing syntax (/>) used on a nonvoid html element.""  ",1,train
APSTUD-2771,"Change default URL for ""Add Remote"" Git dialog box","currently, when adding a remote, we default to:    git:/github.com/username/project.git, which is readonly    suggest instead we default to:    git@github.com:username/project.git, which is readwrite    alternately, we might ask the user if they are a contributor to the project, or just an observer, and perhaps offer a switch betwen the two optons",1,train
APSTUD-2772,"Add new ""push new branch to remote"" command to Git menu","when sharing a local project with a new github repo, a user is instructed to do the following:    # git remote add origin git@github.com:username/project.git  # git push  u origin master    the first one can be done inside studio with ""add remote"" but not the second one, where the user is forced into the terminal. chris suggested a ""push new branch to remote"" menu option to help with this step.",1,train
APSTUD-2773,Add hints/warnings/tips around SFTP error dialogs.,nan,1,train
APSTUD-2775,Slightly re-arrange existing project creation UI for template selection,"the attached dialog below seems a tiny bit confusing. in order to not use a template, you can leave the ""create the project using..."" box checked, but not choose a template.    suggest two options:    # leave the checkbox, but don't check it until a user has actually selected a template from the list  # remove the checkbox, and instead add a ""no template"" as the top option in the list, which is selected by default.",1,train
APSTUD-2782,Create JS Type View for Projects,"currently, we sort of mix type info and lexical info in the js outline. we should create a separate view that shows type information from the js index for the currently active project. this would be separate from the outline view.",1,train
APSTUD-2789,Nicer default name for theme copy,"steps:    # open the preferences > studio > themes  page  # press the + button to make a copy of the existing theme  # note the default name of the new theme.    suggest that the name be copy of themename, copy (2) of themename (this follows duplicate naming conventions of eclipse)",1,train
APSTUD-2796,Add FTPS option to disable SSL/TLS session resumption,nan,1,train
APSTUD-2798,"Add ""Deploy"" Menu-Entry to ""Merge Results"" Context Menu","when using subclipse to merge some revisions, there's a view ""merge results"" where the merged files are listed. with aptana 2.x it was possible to upload the files directly from that view using the ftp connections.     in aptana 3.x there's no menu entry to upload the files from that view: you have to search each of the merged files or directories in the project explorer (or app explorer) and upload it there.    there should be the ""deploy"" menu entry in the context menu of the ""merge results"" view.",1,train
APSTUD-2809,Add editor debug items to properties view,"when debugging in studio, it is useful to see more information about the current position of the cursor. suggest updating the properties view with the following information:    depending on the current cursor position, it would show the following:    content type: text/javascript  scope: source.js  text: appendpoints   offset start: 531  offset end: 531  length: 12 characters    ",1,train
APSTUD-2811,"""Automatically sync my changes with the remote site"" only syncs one way","in the deployment settings, ""automatically sync my changes with the remote site"" is selected, and ""automatically sync in both directions"" is chosen. opening a file on the remote connection, making a change and saving the file does not initiate a sync with the local copy of the file. the local copy remains unchanged. (opening a file locally and saving does initiate a sync and updates the remote copy as expected.)",8,train
APSTUD-2816,"Convert ""New From Template"" menu to create ""Untitled"" files by default","currently, the ""file > new from template"" menu creates a new projectbased file or a new file on the filesystem, depending on the active selection in project explorer (defaulting to the projectbased behavior)    many users want the ability to create a new untitled file. this is possible, but a user would then have to preselect the type of file (i.e. html, css, etc.). in order to achieve this in studio 2, we had a selection of wizards that activated and deactivated based on the current selection. this worked, but was a clumsy solution.    a different proposal is that we, by default, make the ""new from template"" menu adopt the following behavior:    # file > new from template. creates a new untitled file of the specified type (new behavior)  # rightclick on project in project explorer view. creates a new projectbased file (current behavior)  # right click on file system node in project explorer. creates a new file on the file system (current behavior)    this links with another ticket to make it easier to save this file into a project or file depending on the user's preference.",1,train
APSTUD-2817,"Add dialog to allow user to choose between saving a new ""Untitled"" file into a project or the file system","then saving a new untitled file, the default mechanism is to bring up the ""save to file system"" dialog, allowing them to save a file somewhere on their drive.    this becomes confusing if instead they want to save it into a project.    unfortunately, we can not universally add this option to all possible untitled files, but for those derived from our editor classes, we propose to do the following:    # override the default behavior in abstractdecoratedtexteditor.performsaveas()  # for untitled files, pop up our own dialog asking is the user wishes to save on the file system or in a project (radio button selection). depending on the choice, we can then pop up the correct subsequent save as... dialog.    extra points if we can somehow embed the other save as dialogs in the ""choice"" dialog, preventing the user from having to answer two subsequent dialogs.    also suggest that we could have the user ""remember this choice"" if they almost always want to do one or the other.",1,train
APSTUD-2820,Handle common meta-programming idioms that define methods for Ruby indexing,"rails uses a number of class level methods to attach other methods, such as ""delegate"", ""cattraccessor"", ""cattrwriter"", ""cattrreader"", and ""classattribute"". we don't currently handle these. we'll need to look for calls to these and manually expand the type's method list to include the generated methods that result from calling those.",1,train
APSTUD-2821,Allow for go to declaration on Ruby require/load strings,"we support go to declaration on things like type names, method calls, variables. we should support opening the related file on the loadpath for the paths mentioned in require/load calls.",1,train
APSTUD-2823,Allow spacing customization in CSS Formatter,"we don't currently format spacing between words, and various syntax like ':' ',' '(' ')' etc",1,train
APSTUD-2843,Add XML parse-level validation,"if you enter syntax errors in an xml document, there are no warning icons in the left gutter.      steps to replicate :    1. open aptana studio 3.0.3.  2. select xml file from template (file > new from template > xml > xml template) and open new file.  3. in the xml editor, select all text and enter the following file content :        nosyntaxvalidation          /          /      actual results :    there are no syntax errors reported in the left gray sidebar.      expected results :    the left gray sidebar should report invalid syntax.  ",8,train
APSTUD-2853,Create wrapper for InstanceScope() and DefaultScope() in code,"instancescope() and defaultscope() constructors have been deprecated in eclipse 3.7. however, the replacement methods (instancescope.instance) is only available in eclipse 3.7, so we cannot universally switch to it yet. adding @suppresswarnings(""deprecation"") to all usages is problematic, since it will display ""unused annotation"" in eclipse 3.6    suggest making wrapper methods for the above items and adding a single @suppresswarnings to those instances. thus, we only have two warnings in the problems view rather than the hundred or so we have now.",1,train
APSTUD-2854,"""New From Template"" should list all possible file types, and provide a template option for each","some file types (yaml for instance) don't really have a default template. it basically consists of an empty document just so that we can make sure there is an entry in the new... menu.    suggest instead scanning the bundles, and if a file type does not have a template attached, suggest creating a entry ""file type > blank file"" for each. this will also make it easier once we convert file > new from template to create untitled files, and cut down on the number of unnecessary templates created.",1,train
APSTUD-2901,Create Aptana Studio Start Page,"this would crib from the titanium studio start page with a few differences:     the page should show on first startup, and after each update.   the page would contain the following content:   link to documentation   link to how to install svn, db, other plugins   link to how to install a js library   link (or iframe) of release notes for latest released version   link/iframe of stack overflow questions",1,train
APSTUD-2902,PHP chaining code hinting, using classes with chain desing pattern code hinting breakes when function in chain has parameter.    for example in doctrinequery class:    $q = doctrinequery::create();  $q>from()>select(); /list of available function is displayed    $q = doctrine_query::create();  $q>from('modelname')> /no code hinting  ,5,train
APSTUD-2941,Notify Studio 2 users that there is an upgrade to Studio 3,"this probably should be something both on the home page, in the views, and also perhaps a popup?    # tell them about the new features  # direct them on how to install the new version  # show them the migration guide",1,train
APSTUD-2971,Use regular expressions to improve scope selector matching performance,"our current implementation for matching will require roughly n2 comparisons, worst case for and. i'm wondering if we could convert the selector to a regex and then perform a regex match instead of using our nested loops. that would have to be a lot faster. for example (and simplifying things a bit), the above selector could look like the following regex, where whitespace is ignored:        .  \b(text(\.$)  .  \b(source(\.[az))(\b|$)  .   $  ",13,train
APSTUD-2983,App Explorer constantly refreshing/resorting contents on Git-bound projects,"steps to reproduce:    # check out a project from git (suggest using https:/github.com/aptana/html.ruble, file > import > git repository)  # switch to using app explorer  # expand templates folder  # edit 1_1.xhtml. save  # note order of files/folders reshuffles. this will repeat with each new file edited.    see before/after screen shorts below.",8,train
APSTUD-2998,Stage hunks/selected lines with Git in Aptana Studio 3?,"i've got aptana working nicely with git, but there's only one thing that keeps me opening git gui:  staging only part of a file.    in git gui, i can select some lines and either stage those lines, or stage the hunk they're in. in aptana, it only seems to allow me to stage all edits to a file. it is important to support staging individual or groups of hunks or lines.",20,train
APSTUD-2999,Can't set breakpoint in haml (ruby) templates,"editor does not allow setting of ruby breakpoints in haml view templates on lines with ruby code (starting with = and  )    these ruby code lines should be breakpointable just like in erb templates.    if there is a workaround, please describe in detail.    thanks,  tv/",1,train
APSTUD-3014,"Support ""ftp"" scheme using EFS filesystem extension","we should support using ftp uris in the efs filesystem api using our existing infrastructure. forget handling passwords/prefs, just assume the uri contains the info needed to connect (i.e. login/password/port/host).    users will be able to see/use this in the html editor by trying to get content assist on a public anonymous ftp site, by enter in:    <a href=""ftp:/3dftp.com/ (which is where the cursor should be, not something user actually types) and getting back the folders ""pub"", ""incoming"" and ""conf"" as options.",1,train
APSTUD-3045,Upgrade Hudson to latest version,nan,1,train
APSTUD-3053,Support for Mac OS X Lion Full Screen View,mac os x lion has a full screen feature for a lot of native apps. it would be great for aptana to have a feature like this.,8,train
APSTUD-3061,Copy/Cut/Paste intermittently fails in editor,"there is a very strange issue that has been happening to me since i started using aptana studio at version 3.0.2...sometimes when i copy (or cut) some text from the editor and paste it somewhere else in the same or different file, aptana will paste the last thing (or second to last, depending on how you look at it) instead of the most recent thing i just copied.    i thought maybe just my keyboard wasn't working, since i had never experienced something like that before. but then my coworker (who is also using aptana 3.0.3) asked me if i was experiencing copy/paste issues too. that's when i knew i wasn't the only one. we noticed that the times when he can't copy/paste is when aptana is using up 100% of the cpu. so, not sure if there is another bug and this is just a sideafect, or if this is a bug that can be isolated.    i don't know how to replicate this. all i know is that it is happening at seemingly random times.    update:    some people have reported relief after unbinding the shortcut 'command + c' from 'copy' under preferences/general/keys. unbinding this shortcut resolved the issue of copy/paste randomly not working.    it also appears that this is a long standing eclipse issue:     https:/bugs.eclipse.org/bugs/showbug.cgi?id=368354   https:/bugs.eclipse.org/bugs/showbug.cgi?id=200743    which suggests that there is some more investigation to do here.  ",13,train
APSTUD-3100,Create FindBugs Profile appropriate for validating code correctness,"the default findbugs profile is too strict for our current code base. we need to create a more limited profile that we can use to validate all committed code for possible errors. please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",1,train
APSTUD-3101,Create PMD profile to validate Studio code,"the default pmd profile is too strict for our purposes. create a default pmd profile all developers can use to validate code correctness before checkin. please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",1,train
APSTUD-3130,Upgrade Unit Test Coverage,"our current unit test coverage hovers around 30% (class, method, block, and line) we need to get this higher.    here are the classes we need to test: please create a sub task for the class you want to test, and edit the document to indicate you've claimed that test. if there already is a task created for a particular class, it means someone else has claimed that one, so choose another. if there are a bunch of related classes, you can group that into one task.    coverage goals for all classes below is a minimum of 100% class, 70% method, 80% block, 80% line (default emma values in jenkins)     com.aptana.core.util    keepaliveobjectpool   objectpool   reapingobjectpool   streamutil    uriutil",20,train
APSTUD-3132,Update Studio version # from 3.0.4 to 3.0.5,nan,1,train
APSTUD-3133,"JavaScript - ""Auto format code block when typing closing brace '}'"" formatting option as there is in Aptana 2","aptana 2 has great feature for javascript formatting: ""auto format code block when typing closing brace '}'"".  this setting accessible in aptana 2 from: window > preferences > aptana > editors > javascript > typing > formatting    it would be nice if such feature will be presented in aptana 3    attached screenshot of the preferences screen in aptana 2 and another screenshot showing formatting behavior.    suggested solution    # add preference (off by default) for this setting  # find relevant nodes in the astconvert into selection and perform format  # add lots of unit tests",20,train
APSTUD-3149,Convert cygwin paths to Windows paths in ENV when executing process outside Terminal (console/process/ProcessBuilder),"we ran into an issue with path holding cygwin paths on windows breaking git clones. i added a method to convert between the two, but we need to make sure we convert anywhere we're not executing inside the terminal/bash.",1,train
APSTUD-3189,Support Javascript go to definition hyperlinks,"this comes from trying to close apstud 46, which must have been a studio 2.x ticket.    we should support ctrl+clicking to go to definition for javascript functions, variables, properties.",1,train
APSTUD-3228,Allow creation of a new project by dragging folder into root of project explorer or onto dock icon,"it should be simple to create a project by dragging an existing folder from the finder/filesystem explorer either into the project explorer root or onto e.g. the dock icon of studio.    this is such a basic function. although this can be done from the filesystem tree in project explorer, it's tedious to dig through the entire hierarchy to access a folder that's already there in an os filesystem browser view.   this should have been the very first feature implemented in eclipse, but it's still lacking. please implement. it's valuable for first time users and experienced users alike.",13,train
